wh2_main_special_tor_yvresse_primary	res_location_hef_def
wh2_main_special_tor_yvresse_secondary	res_rom_oil
wh2_main_special_tower_of_hoeth_primary	res_location_generic
wh2_main_special_tower_of_hoeth_secondary
wh2_main_special_xlanhuapec_primary	res_location_lzd
wh2_main_special_xlanhuapec_secondary	res_rom_iron
wh2_main_special_yuatek_primary	res_location_skv
wh2_main_special_yuatek_secondary	res_medicine
wh2_main_special_ziggurat_of_dawn_primary	res_location_generic
wh2_main_special_ziggurat_of_dawn_secondary
wh2_main_special_zoishenk_primary
wh2_main_special_zoishenk_secondary
wh2_main_vor_copper_desert_the_dust_gate_minor_primary_ritual	res_ritual_currency
wh2_main_vor_copper_desert_the_dust_gate_minor_secondary_ritual
wh2_main_vor_land_of_assassins_sorcerers_islands_primary_ritual	res_ritual_currency
wh2_main_vor_land_of_assassins_sorcerers_islands_secondary_ritual
wh2_main_vor_the_capes_citadel_of_dusk_major_primary_ritual	res_ritual_currency
wh2_main_vor_the_capes_citadel_of_dusk_major_secondary_ritual
wh2_main_vor_the_great_desert_bel_aliad_primary_ritual	res_ritual_currency
wh2_main_vor_the_great_desert_bel_aliad_secondary_gold_ritual	res_gold
wh2_main_vor_the_red_rivers_sun-tree_glades_primary_ritual	res_ritual_currency
wh2_main_vor_the_red_rivers_sun-tree_glades_secondary_ritual
